"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Dortmund I",28.6217206165953,38.8219458214152,9.47672236387404,7.68414376868618,7.30038957845282,5.86503242172838,11.39,28.9,29.4
"Dortmund II",28.1438307409313,38.7894762807547,10.6237974754914,8.62787108232492,6.37611090359365,6.36483448329328,12.62,28.9,27.6
"Unna I",31.7649027680155,38.8392408876393,9.07587776550524,5.38742176255983,6.42634802691033,6.44977742075844,7.79,23.2,29.1
"Hamm – Unna II",35.207596131163,36.3971455531965,10.447039396084,5.86282142014626,4.379570653456,5.87284736966266,9.48,26.5,39.1
"Soest",42.6664888775516,29.2528798937903,8.8765080671811,5.65601284719605,5.48382795424636,7.93094052374354,5.73,20.4,54.6
"Hochsauerlandkreis",47.9549445653029,26.8963122166016,7.28317563494352,4.22771472754436,4.24344088276151,8.44822163394753,4.45,17.4,68
"Siegen-Wittgenstein",40.127444025439,30.2175509340502,9.78792517641788,5.94531356955283,4.28443415599447,7.30625147792754,5.11,20.2,21.1
"Olpe – Märkischer Kreis I",47.8628283364288,26.3319182807111,8.82594852746086,4.77381268240913,3.42995489519766,8.77553727779252,5.18,23.1,44.4
"Märkischer Kreis II",37.8029727218985,38.6284942150156,12.0879869712815,7.82098921825296,3.77009261605157,10.7120738676351,6.6,28,36.6
"Nordsachsen",32.8131709579347,13.9636544770608,26.8288703000739,17.1936996513166,2.63745512633333,6.56314948728079,8.9,2.7,2.9
"Leipzig I",27.4851824730718,16.4804696545811,20.4672762662961,19.4846567403318,5.46636875144733,5.67853946437848,9.28,8.1,3.5
"Leipzig II",24.6358866857482,13.6983776872974,14.956145150051,25.3096906836519,9.94695953144707,5.78953127429582,8.41,8.1,4.5
"Leipzig-Land",34.0565764813906,11.4593160006541,28.656151340201,15.5975246217124,3.91117316327686,6.31925839276505,7.04,2.8,2.7
"Meißen",36.6548962191026,8.93251094784124,30.9852063361666,12.6703457596576,3.34563378228868,5.29471389862398,7.22,3.3,3
"Bautzen I",30.5758905247786,9.96745705527265,33.2145757142767,15.2467158063034,2.04321854129555,5.82059206757854,7.66,3.2,9.6
"Görlitz",31.4070727912986,10.9352930072707,32.4361619725186,13.5721306246786,3.25064602847082,4.98662379337503,10.83,4.5,5.2
"Sächsische Schweiz-Osterzgebirge",28.8204868285963,7.21145723679936,37.3978192782045,14.6951797990825,2.97152585545895,6.4537928704173,6.75,2.9,3
"Dresden I",24.5480568520949,13.2125198633512,22.3515993112193,21.0404797103134,6.51019605888965,7.52454196634719,6.92,7.3,4.3
"Dresden II – Bautzen II",25.5501765330214,11.1491974787186,22.3086836918145,17.5422921134143,8.57322329802673,6.95410141443022,7.46,6.6,4.1
"Mittelsachsen",32.4396133640956,11.9629776614851,31.496566151197,13.9795650682398,3.11030692756294,5.81904524877747,6.95,2.6,2.2
"Chemnitz",26.5527214272466,15.3970336683452,24.0123104824583,19.3924447161788,4.22966743836172,6.55093530813989,8.49,6.5,2.1
"Chemnitzer Umland – Erzgebirgskreis II",35.1296967036183,10.3471993560897,26.6249588409615,16.9575238722423,3.37248015219698,7.56814107489116,5.74,2.5,2
"Erzgebirgskreis I",34.6805505451032,8.99680214250338,30.242682531627,15.1638366952619,2.65000275150263,7.22666878634276,6.94,1.8,1.7
"Zwickau",33.7227305696591,12.7064386542432,12.0879869712815,25.7218378619651,4.54095296546337,13.3766668526474,6.66,3.1,3
"Vogtlandkreis",34.9856762111084,11.0663740147941,25.9574134515343,15.544517765774,3.76979319584396,5.58128928352551,6.78,3.5,2.4
